country,year,category,group,subgroup,consumption
Austria,2019,Non-Animal,Carbohydrates,Sugar ,457.0
Austria,2019,Non-Animal,Oils & Fats ,,1052.0
Austria,2019,Animal,Meat ,,423.0
Austria,2019,Non-Animal,Alcoholic Beverages ,,234.0
Austria,2019,Non-Animal,Carbohydrates,Starchy Roots and pulses ,57.5
Austria,2019,Animal,Dairy & Eggs ,,302.0
Austria,2019,Non-Animal,Fruit and Vegetables ,,247.0
Austria,2019,Non-Animal,Carbohydrates,Cereals and Grains ,870.0
Austria,2020,Non-Animal,Alcoholic Beverages ,,237.0
Austria,2020,Non-Animal,Carbohydrates,Sugar ,457.0
Austria,2020,Non-Animal,Oils & Fats ,,1017.0
Austria,2020,Non-Animal,Carbohydrates,Starchy Roots and pulses ,59.0
Austria,2020,Non-Animal,Carbohydrates,Cereals and Grains ,882.0
Austria,2020,Animal,Meat ,,416.0
Austria,2020,Animal,Dairy & Eggs ,,305.0
Austria,2020,Non-Animal,Fruit and Vegetables ,,273.0
Austria,2021,Non-Animal,Carbohydrates,Cereals and Grains ,891.0
Austria,2021,Non-Animal,Carbohydrates,Starchy Roots and pulses ,55.5
Austria,2021,Non-Animal,Fruit and Vegetables ,,263.0
Austria,2021,Non-Animal,Oils & Fats ,,1031.0
Austria,2021,Animal,Meat ,,399.0
Austria,2021,Animal,Dairy & Eggs ,,319.0
Austria,2021,Non-Animal,Alcoholic Beverages ,,233.0
Austria,2021,Non-Animal,Carbohydrates,Sugar ,454.0
Austria,2022,Non-Animal,Alcoholic Beverages ,,243.0
Austria,2022,Non-Animal,Fruit and Vegetables ,,261.0
Austria,2022,Non-Animal,Carbohydrates,Cereals and Grains ,887.0
Austria,2022,Non-Animal,Carbohydrates,Starchy Roots and pulses ,58.5
Austria,2022,Animal,Dairy & Eggs ,,326.0
Austria,2022,Non-Animal,Carbohydrates,Sugar ,436.0
Austria,2022,Non-Animal,Oils & Fats ,,1045.0
Austria,2022,Animal,Meat ,,416.0
Belgium,2014,Non-Animal,Carbohydrates,Cereals and Grains ,841.0
Belgium,2014,Non-Animal,Carbohydrates,Starchy Roots and pulses ,92.0
Belgium,2014,Non-Animal,Fruit and Vegetables ,,194.0
Belgium,2014,Non-Animal,Oils & Fats ,,1007.0
Belgium,2014,Animal,Meat ,,341.0
Belgium,2014,Animal,Dairy & Eggs ,,417.0
Belgium,2014,Non-Animal,Alcoholic Beverages ,,202.0
Belgium,2014,Non-Animal,Carbohydrates,Sugar ,502.0
Belgium,2015,Non-Animal,Alcoholic Beverages ,,194.0
Belgium,2015,Non-Animal,Fruit and Vegetables ,,216.0
Belgium,2015,Non-Animal,Carbohydrates,Cereals and Grains ,844.0
Belgium,2015,Non-Animal,Carbohydrates,Starchy Roots and pulses ,96.5
Belgium,2015,Animal,Dairy & Eggs ,,420.0
Belgium,2015,Non-Animal,Carbohydrates,Sugar ,480.0
Belgium,2015,Non-Animal,Oils & Fats ,,1014.0
Belgium,2015,Animal,Meat ,,327.0
Belgium,2016,Animal,Dairy & Eggs ,,415.0
Belgium,2016,Non-Animal,Fruit and Vegetables ,,216.0
Belgium,2016,Non-Animal,Carbohydrates,Cereals and Grains ,838.0
Belgium,2016,Animal,Meat ,,345.0
Belgium,2016,Non-Animal,Alcoholic Beverages ,,184.0
Belgium,2016,Non-Animal,Carbohydrates,Sugar ,475.0
Belgium,2016,Non-Animal,Oils & Fats ,,1022.0
Belgium,2016,Non-Animal,Carbohydrates,Starchy Roots and pulses ,96.5
Belgium,2017,Non-Animal,Carbohydrates,Cereals and Grains ,857.0
Belgium,2017,Non-Animal,Carbohydrates,Starchy Roots and pulses ,92.0
Belgium,2017,Animal,Meat ,,296.0
Belgium,2017,Animal,Dairy & Eggs ,,453.0
Belgium,2017,Non-Animal,Fruit and Vegetables ,,219.0
Belgium,2017,Non-Animal,Oils & Fats ,,997.0
Belgium,2017,Non-Animal,Alcoholic Beverages ,,178.0
Belgium,2017,Non-Animal,Carbohydrates,Sugar ,496.0
Belgium,2018,Non-Animal,Oils & Fats ,,997.0
Belgium,2018,Animal,Meat ,,289.0
Belgium,2018,Animal,Dairy & Eggs ,,414.0
Belgium,2018,Non-Animal,Carbohydrates,Sugar ,507.0
Belgium,2018,Non-Animal,Alcoholic Beverages ,,180.0
Belgium,2018,Non-Animal,Fruit and Vegetables ,,207.0
Belgium,2018,Non-Animal,Carbohydrates,Cereals and Grains ,892.0
Belgium,2018,Non-Animal,Carbohydrates,Starchy Roots and pulses ,94.0
Belgium,2019,Non-Animal,Carbohydrates,Sugar ,519.0
Belgium,2019,Non-Animal,Oils & Fats ,,1005.0
Belgium,2019,Animal,Meat ,,300.0
Belgium,2019,Non-Animal,Alcoholic Beverages ,,178.0
Belgium,2019,Non-Animal,Carbohydrates,Starchy Roots and pulses ,88.0
Belgium,2019,Animal,Dairy & Eggs ,,398.0
Belgium,2019,Non-Animal,Fruit and Vegetables ,,193.0
Belgium,2019,Non-Animal,Carbohydrates,Cereals and Grains ,914.0
Belgium,2020,Non-Animal,Alcoholic Beverages ,,188.0
Belgium,2020,Non-Animal,Carbohydrates,Sugar ,469.0
Belgium,2020,Non-Animal,Oils & Fats ,,1053.0
Belgium,2020,Non-Animal,Carbohydrates,Starchy Roots and pulses ,93.0
Belgium,2020,Non-Animal,Carbohydrates,Cereals and Grains ,913.0
Belgium,2020,Animal,Meat ,,296.0
Belgium,2020,Animal,Dairy & Eggs ,,414.0
Belgium,2020,Non-Animal,Fruit and Vegetables ,,176.0
Belgium,2021,Non-Animal,Carbohydrates,Cereals and Grains ,920.0
Belgium,2021,Non-Animal,Carbohydrates,Starchy Roots and pulses ,89.5
Belgium,2021,Non-Animal,Fruit and Vegetables ,,182.0
Belgium,2021,Non-Animal,Oils & Fats ,,983.0
Belgium,2021,Animal,Meat ,,319.0
Belgium,2021,Animal,Dairy & Eggs ,,414.0
Belgium,2021,Non-Animal,Alcoholic Beverages ,,172.0
Belgium,2021,Non-Animal,Carbohydrates,Sugar ,513.0
Belgium,2022,Non-Animal,Alcoholic Beverages ,,171.0
Belgium,2022,Non-Animal,Fruit and Vegetables ,,203.0
Belgium,2022,Non-Animal,Carbohydrates,Cereals and Grains ,905.0
Belgium,2022,Non-Animal,Carbohydrates,Starchy Roots and pulses ,97.5
Belgium,2022,Animal,Dairy & Eggs ,,428.0
Belgium,2022,Non-Animal,Carbohydrates,Sugar ,496.0
Belgium,2022,Non-Animal,Oils & Fats ,,988.0
Belgium,2022,Animal,Meat ,,313.0
Bulgaria,2014,Non-Animal,Carbohydrates,Cereals and Grains ,1024.0
Bulgaria,2014,Non-Animal,Carbohydrates,Starchy Roots and pulses ,50.0
Bulgaria,2014,Non-Animal,Fruit and Vegetables ,,78.0
Bulgaria,2014,Non-Animal,Oils & Fats ,,513.0
Bulgaria,2014,Animal,Meat ,,213.0
Bulgaria,2014,Animal,Dairy & Eggs ,,290.0
Bulgaria,2014,Non-Animal,Alcoholic Beverages ,,147.0
Bulgaria,2014,Non-Animal,Carbohydrates,Sugar ,330.0
Bulgaria,2015,Non-Animal,Alcoholic Beverages ,,164.0
Bulgaria,2015,Non-Animal,Fruit and Vegetables ,,93.0
Bulgaria,2015,Non-Animal,Carbohydrates,Cereals and Grains ,1048.0
Bulgaria,2015,Non-Animal,Carbohydrates,Starchy Roots and pulses ,43.5
Bulgaria,2015,Animal,Dairy & Eggs ,,302.0
Bulgaria,2015,Non-Animal,Carbohydrates,Sugar ,340.0
Bulgaria,2015,Non-Animal,Oils & Fats ,,488.0
Bulgaria,2015,Animal,Meat ,,201.0
Bulgaria,2016,Animal,Dairy & Eggs ,,271.0
Bulgaria,2016,Non-Animal,Fruit and Vegetables ,,117.0
Bulgaria,2016,Non-Animal,Carbohydrates,Cereals and Grains ,1017.0
Bulgaria,2016,Animal,Meat ,,206.0
Bulgaria,2016,Non-Animal,Alcoholic Beverages ,,173.0
Bulgaria,2016,Non-Animal,Carbohydrates,Sugar ,323.0
Bulgaria,2016,Non-Animal,Oils & Fats ,,502.0
Bulgaria,2016,Non-Animal,Carbohydrates,Starchy Roots and pulses ,43.5
Bulgaria,2017,Non-Animal,Carbohydrates,Cereals and Grains ,1067.0
Bulgaria,2017,Non-Animal,Carbohydrates,Starchy Roots and pulses ,47.5
Bulgaria,2017,Animal,Meat ,,225.0
Bulgaria,2017,Animal,Dairy & Eggs ,,272.0
Bulgaria,2017,Non-Animal,Fruit and Vegetables ,,92.0
Bulgaria,2017,Non-Animal,Oils & Fats ,,484.0
Bulgaria,2017,Non-Animal,Alcoholic Beverages ,,182.0
Bulgaria,2017,Non-Animal,Carbohydrates,Sugar ,320.0
Bulgaria,2018,Non-Animal,Oils & Fats ,,505.0
Bulgaria,2018,Animal,Meat ,,246.0
Bulgaria,2018,Animal,Dairy & Eggs ,,248.0
Bulgaria,2018,Non-Animal,Carbohydrates,Sugar ,302.0
Bulgaria,2018,Non-Animal,Alcoholic Beverages ,,170.0
Bulgaria,2018,Non-Animal,Fruit and Vegetables ,,85.0
Bulgaria,2018,Non-Animal,Carbohydrates,Cereals and Grains ,1094.0
Bulgaria,2018,Non-Animal,Carbohydrates,Starchy Roots and pulses ,40.0
Bulgaria,2019,Non-Animal,Carbohydrates,Sugar ,249.0
Bulgaria,2019,Non-Animal,Oils & Fats ,,514.0
Bulgaria,2019,Animal,Meat ,,240.0
Bulgaria,2019,Non-Animal,Alcoholic Beverages ,,178.0
Bulgaria,2019,Non-Animal,Carbohydrates,Starchy Roots and pulses ,40.0
Bulgaria,2019,Animal,Dairy & Eggs ,,258.0
Bulgaria,2019,Non-Animal,Fruit and Vegetables ,,91.0
Bulgaria,2019,Non-Animal,Carbohydrates,Cereals and Grains ,1112.0
Bulgaria,2020,Non-Animal,Alcoholic Beverages ,,178.0
Bulgaria,2020,Non-Animal,Carbohydrates,Sugar ,268.0
Bulgaria,2020,Non-Animal,Oils & Fats ,,479.0
Bulgaria,2020,Non-Animal,Carbohydrates,Starchy Roots and pulses ,38.0
Bulgaria,2020,Non-Animal,Carbohydrates,Cereals and Grains ,1101.0
Bulgaria,2020,Animal,Meat ,,256.0
Bulgaria,2020,Animal,Dairy & Eggs ,,263.0
Bulgaria,2020,Non-Animal,Fruit and Vegetables ,,103.0
Bulgaria,2021,Non-Animal,Carbohydrates,Cereals and Grains ,1106.0
Bulgaria,2021,Non-Animal,Carbohydrates,Starchy Roots and pulses ,30.5
Bulgaria,2021,Non-Animal,Fruit and Vegetables ,,106.0
Bulgaria,2021,Non-Animal,Oils & Fats ,,489.0
Bulgaria,2021,Animal,Meat ,,250.0
Bulgaria,2021,Animal,Dairy & Eggs ,,268.0
Bulgaria,2021,Non-Animal,Alcoholic Beverages ,,191.0
Bulgaria,2021,Non-Animal,Carbohydrates,Sugar ,266.0
Bulgaria,2022,Non-Animal,Alcoholic Beverages ,,191.0
Bulgaria,2022,Non-Animal,Fruit and Vegetables ,,130.0
Bulgaria,2022,Non-Animal,Carbohydrates,Cereals and Grains ,1102.0
Bulgaria,2022,Non-Animal,Carbohydrates,Starchy Roots and pulses ,35.0
Bulgaria,2022,Animal,Dairy & Eggs ,,292.0
Bulgaria,2022,Non-Animal,Carbohydrates,Sugar ,271.0
Bulgaria,2022,Non-Animal,Oils & Fats ,,489.0
Bulgaria,2022,Animal,Meat ,,242.0
Croatia,2014,Non-Animal,Carbohydrates,Cereals and Grains ,888.0
Croatia,2014,Non-Animal,Carbohydrates,Starchy Roots and pulses ,69.5
Croatia,2014,Non-Animal,Fruit and Vegetables ,,146.0
Croatia,2014,Non-Animal,Oils & Fats ,,544.0
Croatia,2014,Animal,Meat ,,249.0
Croatia,2014,Animal,Dairy & Eggs ,,341.0
Croatia,2014,Non-Animal,Alcoholic Beverages ,,181.0
Croatia,2014,Non-Animal,Carbohydrates,Sugar ,448.0
Croatia,2015,Non-Animal,Alcoholic Beverages ,,169.0
Croatia,2015,Non-Animal,Fruit and Vegetables ,,183.0
Croatia,2015,Non-Animal,Carbohydrates,Cereals and Grains ,848.0
Croatia,2015,Non-Animal,Carbohydrates,Starchy Roots and pulses ,66.0
Croatia,2015,Animal,Dairy & Eggs ,,367.0
Croatia,2015,Non-Animal,Carbohydrates,Sugar ,480.0
Croatia,2015,Non-Animal,Oils & Fats ,,590.0
Croatia,2015,Animal,Meat ,,284.0
Croatia,2016,Animal,Dairy & Eggs ,,356.0
Croatia,2016,Non-Animal,Fruit and Vegetables ,,202.0
Croatia,2016,Non-Animal,Carbohydrates,Cereals and Grains ,837.0
Croatia,2016,Animal,Meat ,,296.0
Croatia,2016,Non-Animal,Alcoholic Beverages ,,180.0
Croatia,2016,Non-Animal,Carbohydrates,Sugar ,417.0
Croatia,2016,Non-Animal,Oils & Fats ,,611.0
Croatia,2016,Non-Animal,Carbohydrates,Starchy Roots and pulses ,68.5
Croatia,2017,Non-Animal,Carbohydrates,Cereals and Grains ,851.0
Croatia,2017,Non-Animal,Carbohydrates,Starchy Roots and pulses ,61.0
Croatia,2017,Animal,Meat ,,303.0
Croatia,2017,Animal,Dairy & Eggs ,,349.0
Croatia,2017,Non-Animal,Fruit and Vegetables ,,205.0
Croatia,2017,Non-Animal,Oils & Fats ,,613.0
Croatia,2017,Non-Animal,Alcoholic Beverages ,,166.0
Croatia,2017,Non-Animal,Carbohydrates,Sugar ,431.0
Croatia,2018,Non-Animal,Oils & Fats ,,526.0
Croatia,2018,Animal,Meat ,,323.0
Croatia,2018,Animal,Dairy & Eggs ,,333.0
Croatia,2018,Non-Animal,Carbohydrates,Sugar ,428.0
Croatia,2018,Non-Animal,Alcoholic Beverages ,,159.0
Croatia,2018,Non-Animal,Fruit and Vegetables ,,213.0
Croatia,2018,Non-Animal,Carbohydrates,Cereals and Grains ,887.0
Croatia,2018,Non-Animal,Carbohydrates,Starchy Roots and pulses ,61.0
Croatia,2019,Non-Animal,Carbohydrates,Sugar ,462.0
Croatia,2019,Non-Animal,Oils & Fats ,,469.0
Croatia,2019,Animal,Meat ,,293.0
Croatia,2019,Non-Animal,Alcoholic Beverages ,,155.0
Croatia,2019,Non-Animal,Carbohydrates,Starchy Roots and pulses ,44.5
Croatia,2019,Animal,Dairy & Eggs ,,328.0
Croatia,2019,Non-Animal,Fruit and Vegetables ,,201.0
Croatia,2019,Non-Animal,Carbohydrates,Cereals and Grains ,901.0
Croatia,2020,Non-Animal,Alcoholic Beverages ,,168.0
Croatia,2020,Non-Animal,Carbohydrates,Sugar ,461.0
Croatia,2020,Non-Animal,Oils & Fats ,,468.0
Croatia,2020,Non-Animal,Carbohydrates,Starchy Roots and pulses ,42.0
Croatia,2020,Non-Animal,Carbohydrates,Cereals and Grains ,908.0
Croatia,2020,Animal,Meat ,,298.0
Croatia,2020,Animal,Dairy & Eggs ,,335.0
Croatia,2020,Non-Animal,Fruit and Vegetables ,,203.0
Croatia,2021,Non-Animal,Carbohydrates,Cereals and Grains ,903.0
Croatia,2021,Non-Animal,Carbohydrates,Starchy Roots and pulses ,37.5
Croatia,2021,Non-Animal,Fruit and Vegetables ,,178.0
Croatia,2021,Non-Animal,Oils & Fats ,,505.0
Croatia,2021,Animal,Meat ,,337.0
Croatia,2021,Animal,Dairy & Eggs ,,348.0
Croatia,2021,Non-Animal,Alcoholic Beverages ,,155.0
Croatia,2021,Non-Animal,Carbohydrates,Sugar ,420.0
Croatia,2022,Non-Animal,Alcoholic Beverages ,,159.0
Croatia,2022,Non-Animal,Fruit and Vegetables ,,198.0
Croatia,2022,Non-Animal,Carbohydrates,Cereals and Grains ,917.0
Croatia,2022,Non-Animal,Carbohydrates,Starchy Roots and pulses ,41.0
Croatia,2022,Animal,Dairy & Eggs ,,349.0
Croatia,2022,Non-Animal,Carbohydrates,Sugar ,401.0
Croatia,2022,Non-Animal,Oils & Fats ,,531.0
Croatia,2022,Animal,Meat ,,329.0
Cyprus,2014,Non-Animal,Carbohydrates,Cereals and Grains ,566.0
Cyprus,2014,Non-Animal,Carbohydrates,Starchy Roots and pulses ,52.0
Cyprus,2014,Non-Animal,Fruit and Vegetables ,,197.0
Cyprus,2014,Non-Animal,Oils & Fats ,,482.0
Cyprus,2014,Animal,Meat ,,383.0
Cyprus,2014,Animal,Dairy & Eggs ,,298.0
Cyprus,2014,Non-Animal,Alcoholic Beverages ,,99.0
Cyprus,2014,Non-Animal,Carbohydrates,Sugar ,343.0
Cyprus,2015,Non-Animal,Alcoholic Beverages ,,90.0
Cyprus,2015,Non-Animal,Fruit and Vegetables ,,214.0
Cyprus,2015,Non-Animal,Carbohydrates,Cereals and Grains ,559.0
Cyprus,2015,Non-Animal,Carbohydrates,Starchy Roots and pulses ,48.0
Cyprus,2015,Animal,Dairy & Eggs ,,285.0
Cyprus,2015,Non-Animal,Carbohydrates,Sugar ,300.0
Cyprus,2015,Non-Animal,Oils & Fats ,,549.0
Cyprus,2015,Animal,Meat ,,377.0
Cyprus,2016,Animal,Dairy & Eggs ,,284.0
Cyprus,2016,Non-Animal,Fruit and Vegetables ,,220.0
Cyprus,2016,Non-Animal,Carbohydrates,Cereals and Grains ,641.0
Cyprus,2016,Animal,Meat ,,384.0
Cyprus,2016,Non-Animal,Alcoholic Beverages ,,95.0
Cyprus,2016,Non-Animal,Carbohydrates,Sugar ,322.0
Cyprus,2016,Non-Animal,Oils & Fats ,,497.0
Cyprus,2016,Non-Animal,Carbohydrates,Starchy Roots and pulses ,52.0
Cyprus,2017,Non-Animal,Carbohydrates,Cereals and Grains ,672.0
Cyprus,2017,Non-Animal,Carbohydrates,Starchy Roots and pulses ,50.5
Cyprus,2017,Animal,Meat ,,375.0
Cyprus,2017,Animal,Dairy & Eggs ,,304.0
Cyprus,2017,Non-Animal,Fruit and Vegetables ,,188.0
Cyprus,2017,Non-Animal,Oils & Fats ,,508.0
Cyprus,2017,Non-Animal,Alcoholic Beverages ,,101.0
Cyprus,2017,Non-Animal,Carbohydrates,Sugar ,307.0
Cyprus,2018,Non-Animal,Oils & Fats ,,546.0
Cyprus,2018,Animal,Meat ,,369.0
Cyprus,2018,Animal,Dairy & Eggs ,,283.0
Cyprus,2018,Non-Animal,Carbohydrates,Sugar ,292.0
Cyprus,2018,Non-Animal,Alcoholic Beverages ,,94.0
Cyprus,2018,Non-Animal,Fruit and Vegetables ,,191.0
Cyprus,2018,Non-Animal,Carbohydrates,Cereals and Grains ,665.0
Cyprus,2018,Non-Animal,Carbohydrates,Starchy Roots and pulses ,44.0
Cyprus,2019,Non-Animal,Carbohydrates,Sugar ,283.0
Cyprus,2019,Non-Animal,Oils & Fats ,,516.0
Cyprus,2019,Animal,Meat ,,367.0
Cyprus,2019,Non-Animal,Alcoholic Beverages ,,96.0
Cyprus,2019,Non-Animal,Carbohydrates,Starchy Roots and pulses ,45.5
Cyprus,2019,Animal,Dairy & Eggs ,,285.0
Cyprus,2019,Non-Animal,Fruit and Vegetables ,,193.0
Cyprus,2019,Non-Animal,Carbohydrates,Cereals and Grains ,724.0
Cyprus,2020,Non-Animal,Alcoholic Beverages ,,96.0
Cyprus,2020,Non-Animal,Carbohydrates,Sugar ,284.0
Cyprus,2020,Non-Animal,Oils & Fats ,,558.0
Cyprus,2020,Non-Animal,Carbohydrates,Starchy Roots and pulses ,43.0
Cyprus,2020,Non-Animal,Carbohydrates,Cereals and Grains ,669.0
Cyprus,2020,Animal,Meat ,,374.0
Cyprus,2020,Animal,Dairy & Eggs ,,312.0
Cyprus,2020,Non-Animal,Fruit and Vegetables ,,194.0
Cyprus,2021,Non-Animal,Carbohydrates,Cereals and Grains ,733.0
Cyprus,2021,Non-Animal,Carbohydrates,Starchy Roots and pulses ,41.5
Cyprus,2021,Non-Animal,Fruit and Vegetables ,,163.0
Cyprus,2021,Non-Animal,Oils & Fats ,,520.0
Cyprus,2021,Animal,Meat ,,380.0
Cyprus,2021,Animal,Dairy & Eggs ,,290.0
Cyprus,2021,Non-Animal,Alcoholic Beverages ,,97.0
Cyprus,2021,Non-Animal,Carbohydrates,Sugar ,267.0
Cyprus,2022,Non-Animal,Alcoholic Beverages ,,95.0
Cyprus,2022,Non-Animal,Fruit and Vegetables ,,153.0
Cyprus,2022,Non-Animal,Carbohydrates,Cereals and Grains ,756.0
Cyprus,2022,Non-Animal,Carbohydrates,Starchy Roots and pulses ,41.5
Cyprus,2022,Animal,Dairy & Eggs ,,263.0
Cyprus,2022,Non-Animal,Carbohydrates,Sugar ,312.0
Cyprus,2022,Non-Animal,Oils & Fats ,,532.0
Cyprus,2022,Animal,Meat ,,358.0
Czechia,2014,Non-Animal,Carbohydrates,Cereals and Grains ,978.0
Czechia,2014,Non-Animal,Carbohydrates,Starchy Roots and pulses ,84.5
Czechia,2014,Non-Animal,Fruit and Vegetables ,,128.0
Czechia,2014,Non-Animal,Oils & Fats ,,649.0
Czechia,2014,Animal,Meat ,,366.0
Czechia,2014,Animal,Dairy & Eggs ,,350.0
Czechia,2014,Non-Animal,Alcoholic Beverages ,,284.0
Czechia,2014,Non-Animal,Carbohydrates,Sugar ,334.0
Czechia,2015,Non-Animal,Alcoholic Beverages ,,300.0
Czechia,2015,Non-Animal,Fruit and Vegetables ,,125.0
Czechia,2015,Non-Animal,Carbohydrates,Cereals and Grains ,930.0
Czechia,2015,Non-Animal,Carbohydrates,Starchy Roots and pulses ,70.0
Czechia,2015,Animal,Dairy & Eggs ,,330.0
Czechia,2015,Non-Animal,Carbohydrates,Sugar ,281.0
Czechia,2015,Non-Animal,Oils & Fats ,,747.0
Czechia,2015,Animal,Meat ,,355.0
Czechia,2016,Animal,Dairy & Eggs ,,331.0
Czechia,2016,Non-Animal,Fruit and Vegetables ,,131.0
Czechia,2016,Non-Animal,Carbohydrates,Cereals and Grains ,909.0
Czechia,2016,Animal,Meat ,,358.0
Czechia,2016,Non-Animal,Alcoholic Beverages ,,281.0
Czechia,2016,Non-Animal,Carbohydrates,Sugar ,319.0
Czechia,2016,Non-Animal,Oils & Fats ,,721.0
Czechia,2016,Non-Animal,Carbohydrates,Starchy Roots and pulses ,73.5
Czechia,2017,Non-Animal,Carbohydrates,Cereals and Grains ,878.0
Czechia,2017,Non-Animal,Carbohydrates,Starchy Roots and pulses ,74.5
Czechia,2017,Animal,Meat ,,351.0
Czechia,2017,Animal,Dairy & Eggs ,,320.0
Czechia,2017,Non-Animal,Fruit and Vegetables ,,142.0
Czechia,2017,Non-Animal,Oils & Fats ,,757.0
Czechia,2017,Non-Animal,Alcoholic Beverages ,,288.0
Czechia,2017,Non-Animal,Carbohydrates,Sugar ,314.0
Czechia,2018,Non-Animal,Oils & Fats ,,745.0
Czechia,2018,Animal,Meat ,,349.0
Czechia,2018,Animal,Dairy & Eggs ,,312.0
Czechia,2018,Non-Animal,Carbohydrates,Sugar ,359.0
Czechia,2018,Non-Animal,Alcoholic Beverages ,,283.0
Czechia,2018,Non-Animal,Fruit and Vegetables ,,131.0
Czechia,2018,Non-Animal,Carbohydrates,Cereals and Grains ,875.0
Czechia,2018,Non-Animal,Carbohydrates,Starchy Roots and pulses ,77.0
Czechia,2019,Non-Animal,Carbohydrates,Sugar ,375.0
Czechia,2019,Non-Animal,Oils & Fats ,,777.0
Czechia,2019,Animal,Meat ,,347.0
Czechia,2019,Non-Animal,Alcoholic Beverages ,,247.0
Czechia,2019,Non-Animal,Carbohydrates,Starchy Roots and pulses ,78.5
Czechia,2019,Animal,Dairy & Eggs ,,323.0
Czechia,2019,Non-Animal,Fruit and Vegetables ,,123.0
Czechia,2019,Non-Animal,Carbohydrates,Cereals and Grains ,878.0
Czechia,2020,Non-Animal,Alcoholic Beverages ,,260.0
Czechia,2020,Non-Animal,Carbohydrates,Sugar ,367.0
Czechia,2020,Non-Animal,Oils & Fats ,,728.0
Czechia,2020,Non-Animal,Carbohydrates,Starchy Roots and pulses ,81.0
Czechia,2020,Non-Animal,Carbohydrates,Cereals and Grains ,910.0
Czechia,2020,Animal,Meat ,,336.0
Czechia,2020,Animal,Dairy & Eggs ,,307.0
Czechia,2020,Non-Animal,Fruit and Vegetables ,,127.0
Czechia,2021,Non-Animal,Carbohydrates,Cereals and Grains ,855.0
Czechia,2021,Non-Animal,Carbohydrates,Starchy Roots and pulses ,73.5
Czechia,2021,Non-Animal,Fruit and Vegetables ,,111.0
Czechia,2021,Non-Animal,Oils & Fats ,,776.0
Czechia,2021,Animal,Meat ,,316.0
Czechia,2021,Animal,Dairy & Eggs ,,325.0
Czechia,2021,Non-Animal,Alcoholic Beverages ,,256.0
Czechia,2021,Non-Animal,Carbohydrates,Sugar ,397.0
Czechia,2022,Non-Animal,Alcoholic Beverages ,,253.0
Czechia,2022,Non-Animal,Fruit and Vegetables ,,125.0
Czechia,2022,Non-Animal,Carbohydrates,Cereals and Grains ,861.0
Czechia,2022,Non-Animal,Carbohydrates,Starchy Roots and pulses ,76.5
Czechia,2022,Animal,Dairy & Eggs ,,323.0
Czechia,2022,Non-Animal,Carbohydrates,Sugar ,389.0
Czechia,2022,Non-Animal,Oils & Fats ,,786.0
Czechia,2022,Animal,Meat ,,306.0
Denmark,2014,Non-Animal,Carbohydrates,Cereals and Grains ,844.0
Denmark,2014,Non-Animal,Carbohydrates,Starchy Roots and pulses ,71.5
Denmark,2014,Non-Animal,Fruit and Vegetables ,,201.0
Denmark,2014,Non-Animal,Oils & Fats ,,636.0
